user,text,sentimiento,cluster
_TheSpecialOne_,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D",Negativo,0
scotthamilton,is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,Negativo,0
mattycus,@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds,Positivo,0
ElleCTF,my whole body feels itchy and like its on fire ,Negativo,0
Karoli,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. ",Negativo,0
joy_wolf,@Kwesidei not the whole crew ,Negativo,0
mybirch,Need a hug ,Negativo,0
coZZ,"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?",Neutral,0
2Hood4Hollywood,@Tatiana_K nope they didn't have it ,Neutral,0
mimismo,@twittera que me muera ? ,Neutral,0
erinx3leannexo,spring break in plain city... it's snowing ,Negativo,0
pardonlauren,I just re-pierced my ears ,Negativo,0
TLeC,@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .,Negativo,0
robrobbierobert,"@octolinz16 It it counts, idk why I did either. you never talk to me anymore ",Negativo,0
bayofwolves,"@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown.",Negativo,0
HairByJess,@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!,Negativo,0
lovesongwriter,Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?,Negativo,0
armotley,about to file taxes ,Positivo,0
starkissed,@LettyA ahh ive always wanted to see rent  love the soundtrack!!,Neutral,0
gi_gi_bee,@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? ,Negativo,0
quanvu,@alydesigns i was out most of the day so didn't get much done ,Neutral,0
swinspeedx,"one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh* ",Negativo,0
cooliodoc,@angry_barista I baked you a cake but I ated it ,Negativo,0
viJILLante,this week is not going as i had hoped ,Negativo,0
Ljelli3166,blagh class at 8 tomorrow ,Positivo,0
ChicagoCubbie,I hate when I have to call and wake people up ,Negativo,0
KatieAngell,Just going to cry myself to sleep after watching Marley and Me.  ,Negativo,0
gagoo,im sad now  Miss.Lilly,Negativo,0
abel209,ooooh.... LOL  that leslie.... and ok I won't do it again so leslie won't  get mad again ,Negativo,0
BaptisteTheFool,Meh... Almost Lover is the exception... this track gets me depressed every time. ,Negativo,0
fatkat309,some1 hacked my account on aim  now i have to make a new one,Negativo,0
EmCDL,@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though,Negativo,0
merisssa,thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! ,Negativo,0
Pbearfox,@julieebaby awe i love you too!!!! 1 am here  i miss you,Negativo,0
jsoo,@HumpNinja I cry my asian eyes to sleep at night ,Negativo,0
scarletletterm,ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now ,Negativo,0
crosland_12,@cocomix04 ill tell ya the story later  not a good day and ill be workin for like three more hours...,Negativo,0
ajaxpro,@MissXu sorry! bed time came here (GMT+1)   http://is.gd/fNge,Negativo,0
Tmttq86,@fleurylis I don't either. Its depressing. I don't think I even want to know about the kids in suitcases. ,Negativo,0
Anthony_Nguyen,Bed. Class 8-12. Work 12-3. Gym 3-5 or 6. Then class 6-10. Another day that's gonna fly by. I miss my girlfriend ,Negativo,0
itsanimesh,really don't feel like getting up today... but got to study to for tomorrows practical exam... ,Negativo,0
lionslamb,He's the reason for the teardrops on my guitar the only one who has enough of me to break my heart ,Negativo,0
